height,hash,mined,miner,size,linkOfSubPage,timestamp,avgFee
674551,0..72e2d03fa8cc5503e89826a785e0d57ceee3fb31ac4a4,7 hours,Unknown,"1,301,620 bytes",https://www.blockchain.com/btc/block/000000000000000000072e2d03fa8cc5503e89826a785e0d57ceee3fb31ac4a4,1615735101,0.0013474251999999998
674552,0..bbee3aa8e0fca1f0b7ee1d4e19fdbb859f0d24f2aa71e,7 hours,Unknown,"1,171,936 bytes",https://www.blockchain.com/btc/block/0000000000000000000bbee3aa8e0fca1f0b7ee1d4e19fdbb859f0d24f2aa71e,1615735108,0.0007596639999999997
674553,0..53b5bc891abdfb865772c1c1aaf0f5027ebe78deac2e5,7 hours,Unknown,"1,093,280 bytes",https://www.blockchain.com/btc/block/000000000000000000053b5bc891abdfb865772c1c1aaf0f5027ebe78deac2e5,1615735114,0.00102485
674554,0..b902e9ca43f1fa70c511a43aa6b2d8edb2fc237669b41,7 hours,Unknown,"1,325,868 bytes",https://www.blockchain.com/btc/block/0000000000000000000b902e9ca43f1fa70c511a43aa6b2d8edb2fc237669b41,1615735122,0.0013223851999999998
674555,0..829aeeb40ae39f5b97917b919ad0c133ff7b43205572e,7 hours,Unknown,"1,214,543 bytes",https://www.blockchain.com/btc/block/0000000000000000000829aeeb40ae39f5b97917b919ad0c133ff7b43205572e,1615735129,0.0006956683999999999
674556,0..50c97966ed258f77bcfb0c169041d5fbc440a53057832,7 hours,Unknown,"1,155,379 bytes",https://www.blockchain.com/btc/block/000000000000000000050c97966ed258f77bcfb0c169041d5fbc440a53057832,1615735136,0.00048507039999999985
674557,0..3cb756c580b28c4ed27740bf121896c8376f7ef21b973,7 hours,Unknown,"1,010,118 bytes",https://www.blockchain.com/btc/block/00000000000000000003cb756c580b28c4ed27740bf121896c8376f7ef21b973,1615735141,0.0003486304
674558,0..52b43c7cbed88b3ffb8ee046ea6458339469c3fbee2d6,7 hours,Unknown,"1,130,652 bytes",https://www.blockchain.com/btc/block/000000000000000000052b43c7cbed88b3ffb8ee046ea6458339469c3fbee2d6,1615735148,0.0005719596
674559,0..50c7f72bb3b74a01ae89e29f1ae1a65b39793cbc2c019,6 hours,Unknown,"1,208,531 bytes",https://www.blockchain.com/btc/block/000000000000000000050c7f72bb3b74a01ae89e29f1ae1a65b39793cbc2c019,1615735155,0.0010489656000000002
674560,0..4191b2931a4cb475c7ba1891fe4a6516848559dd7e94f,6 hours,Unknown,"1,133,051 bytes",https://www.blockchain.com/btc/block/00000000000000000004191b2931a4cb475c7ba1891fe4a6516848559dd7e94f,1615735161,0.0010900144000000004
674561,0..5fe52c72505b9ef9ef5ff6b7b88e9ebcd90bd5ee6bfeb,6 hours,Unknown,"1,232,763 bytes",https://www.blockchain.com/btc/block/00000000000000000005fe52c72505b9ef9ef5ff6b7b88e9ebcd90bd5ee6bfeb,1615735169,0.0005274043999999999
